team,offense_pass_rush_z,defense_pass_rush_z,defense_completion_z,defense_interception_z,defense_yac_oe
KC,1.24,0.94,0.46,-0.7,-0.79
SF,-0.03,0.5,-0.27,1.18,-0.72
PHI,1.24,0.36,0.23,-1.01,-0.55
CIN,-0.3,0.26,-0.88,0.34,-0.06
DAL,0.6,0.45,1.16,0.83,0.07
TB,1.37,0.13,-0.55,-0.23,-0.12
BUF,1.7,0.61,0.23,0.68,-0.51
JAX,1.18,-0.42,-0.32,-0.1,-0.19
NYG,-2.0,-0.91,0.93,-0.33,0.19
LA,0.12,-0.44,0.33,-0.18,-0.6
BAL,0.79,0.63,0.45,0.12,-0.76
SEA,-0.27,0.1,-0.01,-0.08,0.05
MIN,-0.82,-0.13,-1.42,0.14,-0.4
LAC,0.33,-0.21,-0.01,-0.58,0.12
MIA,0.93,0.87,-0.86,-0.58,-0.44
GB,0.81,0.01,-0.18,-0.23,-0.08
TEN,-2.27,0.21,-1.21,-1.22,-0.57
PIT,0.29,0.4,0.72,0.64,0.09
NE,0.47,-0.4,-0.03,0.16,-0.5
NO,0.52,-0.57,1.43,0.52,-0.13
ARI,0.06,-0.81,-1.07,0.18,-0.44
LV,0.36,-0.54,-0.22,-0.5,-0.05
CLE,-0.1,0.52,2.03,0.68,-0.03
IND,-0.12,0.51,-0.4,0.82,-0.17
CHI,-0.98,-1.32,-0.19,1.13,-0.13
WAS,-1.38,0.02,-0.04,-1.31,-0.06
HOU,-0.23,-0.09,-1.32,0.55,-0.32
ATL,-0.3,-0.76,0.23,-0.81,-0.53
CAR,-0.94,-0.6,0.13,-0.27,-0.86
NYJ,-1.14,0.93,1.09,0.29,-0.09
DET,0.53,-0.15,-0.03,-0.08,-0.08
DEN,-1.53,-0.0,-0.4,0.04,-0.09
